OTU,ARMS_BelgiumCoast_AJJC86_20200506_20201012_MF100_s1_r1,ARMS_TZS_Angbat_20200608_20201117_MF100_ETOH_s1_r1,ARMS_TZS_Angbat_20200608_20201117_MF500_ETOH_s1_r1,ARMS_TZS_Angbat_20200608_20201117_SF40_ETOH_s1_r1,ARMS_TZS_Kummelkobben_20200608_20201120_MF100_ETOH_s1_r1,ARMS_TZS_Kummelkobben_20200608_20201120_SF40_ETOH_s1_r1,ARMS_Getxo_G1_20200624_20201103_MF100_s1_r1,ARMS_Getxo_G1_20200624_20201103_MF500_s1_r1,ARMS_Getxo_G1_20200624_20201103_SF40_s1_r1,ARMS_Getxo_G2_20200624_20201103_MF100_s1_r1,ARMS_Getxo_G2_20200624_20201103_SF40_s1_r1,ARMS_Getxo_G3_20200624_20201103_MF100_s1_r1,ARMS_Getxo_G3_20200624_20201103_SF40_s1_r1,Classification,TAXON:NCBI_TAX_ID
Otu164,0,0,0,0,0,0,0,0,58,0,0,0,0,Cellular organisms;Eukaryota;Opisthokonta;Fungi;Ascomycota;Sordariomycetes;Chaetosphaeriales;Chaetosphaeriaceae;Chloridium;Chloridium_sp,Chloridium:139961
Otu168,0,0,0,0,0,0,0,0,100,0,0,0,0,Cellular organisms;Eukaryota;Opisthokonta;Fungi;Rozellomycota;Rozellomycota_cls_Incertae_sedis;GS11;Unknown GS11 family 1,Rozellomycota:1031332
Otu74,0,0,0,0,0,0,0,102,203,0,0,0,0,Cellular organisms;Eukaryota;Opisthokonta;Fungi;Basidiomycota;Tremellomycetes;Tremellales;Tremellaceae;Cryptococcus;Cryptococcus_sp,Cryptococcus:79213\n5206
Otu1039,0,0,0,0,0,0,0,0,0,0,1,0,0,Cellular organisms;Eukaryota;Opisthokonta;Fungi;Ascomycota;Leotiomycetes;Unknown Leotiomycetes order 2,Leotiomycetes:147548
Otu952,0,0,1,0,0,0,0,0,0,0,0,0,0,Cellular organisms;Eukaryota;Opisthokonta;Fungi;Unknown Fungi phylum 4,Fungi:4751
Otu374,0,0,0,0,0,0,8,0,0,0,0,0,0,Cellular organisms;Eukaryota;Opisthokonta;Fungi;Ascomycota;Dothideomycetes;Pleosporales;Sporormiaceae;Westerdykella;Westerdykella_dispersa,Westerdykella dispersa:45154
Otu195,0,0,0,0,0,0,0,0,36,0,0,0,0,Cellular organisms;Eukaryota;Opisthokonta;Fungi;Rozellomycota;Unknown Rozellomycota class 2,Rozellomycota:1031332
Otu192,0,0,0,0,0,0,41,0,0,0,0,0,0,Cellular organisms;Eukaryota;Opisthokonta;Fungi;Rozellomycota;Unknown Rozellomycota class 1,Rozellomycota:1031332
Otu190,0,0,0,0,0,0,0,0,42,0,0,0,0,Cellular organisms;Eukaryota;Opisthokonta;Fungi;Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Fusarium;Unknown Fusarium species 1,Fusarium:5506
Otu191,0,0,0,0,0,0,0,0,0,0,47,0,0,Cellular organisms;Eukaryota;Opisthokonta;Fungi;Basidiomycota;Tremellomycetes;Trichosporonales;Trichosporonaceae;Cutaneotrichosporon;Cutaneotrichosporon_sp,Cutaneotrichosporon:1838142
Otu46,0,0,0,0,0,0,19,0,306,0,0,0,0,Cellular organisms;Eukaryota;Opisthokonta;Fungi;Basidiomycota;Tremellomycetes,Tremellomycetes:155616
Otu44,0,0,0,0,0,0,76,0,0,0,139,87,0,Cellular organisms;Eukaryota;Opisthokonta;Fungi;Basidiomycota;Tremellomycetes;Trichosporonales;Trichosporonaceae;Apiotrichum;Apiotrichum_laibachii,Apiotrichum laibachii:82520
Otu43,0,0,0,0,0,0,17,0,297,0,60,0,0,Cellular organisms;Eukaryota;Opisthokonta;Fungi;Basidiomycota;Agaricomycetes;Phallales;Phallaceae;Phallus;Unknown Phallus species 1,Phallus:146780
Otu42,0,0,0,0,0,0,0,0,53,270,0,17,0,Cellular organisms;Eukaryota;Opisthokonta;Fungi;Ascomycota;Leotiomycetes;Helotiales;Hyaloscyphaceae;Unknown Hyaloscyphaceae genus 1,Hyaloscyphaceae:47743
Otu1318,0,0,0,0,0,0,0,0,0,1,0,0,0,Cellular organisms;Eukaryota;Opisthokonta;Fungi;Ascomycota;Leotiomycetes;Helotiales;Sclerotiniaceae,Sclerotiniaceae:28983
Otu567,3,0,0,0,0,0,0,0,0,0,0,0,0,Cellular organisms;Eukaryota;Opisthokonta;Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetales_fam_Incertae_sedis;Candida;Candida_diddensiae,Candida diddensiae:45543
Otu566,0,0,0,0,0,0,0,0,0,0,0,4,0,Cellular organisms;Eukaryota;Opisthokonta;Fungi;Basidiomycota;Unknown Basidiomycota class 1,Basidiomycota:5204
Otu564,0,0,0,0,0,0,0,0,0,0,3,1,0,Cellular organisms;Eukaryota;Opisthokonta;Fungi;Ascomycota;Leotiomycetes;Helotiales;Myxotrichaceae;Oidiodendron;Unknown Oidiodendron species 2,Oidiodendron:78141
Otu560,0,0,0,0,0,0,3,0,0,0,0,0,0,Cellular organisms;Eukaryota;Opisthokonta;Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Unknown Eurotiales family 1,Eurotiales:5042
Otu218,0,1,0,0,0,0,0,0,0,0,0,29,0,Cellular organisms;Eukaryota;Opisthokonta;Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetales_fam_Incertae_sedis;Candida;Candida_sake,Candida sake:39397
Otu363,0,0,0,0,0,0,0,12,0,0,0,0,0,Cellular organisms;Eukaryota;Opisthokonta;Fungi;Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Nectria;Nectria_pseudopeziza,Nectria pseudopeziza:1835339
Otu362,0,0,0,0,0,0,20,0,0,0,0,0,0,Cellular organisms;Eukaryota;Opisthokonta;Fungi;Unknown Fungi phylum 1,Fungi:4751
Otu1344,0,0,0,0,0,0,0,0,0,1,0,0,0,Cellular organisms;Eukaryota;Opisthokonta;Fungi;Ascomycota;Dothideomycetes;Pleosporales;Cucurbitariaceae;Pyrenochaetopsis;Unknown Pyrenochaetopsis species 1,Pyrenochaetopsis:798144
Otu189,0,0,0,0,0,0,0,41,0,0,0,0,0,Cellular organisms;Eukaryota;Opisthokonta;Fungi;Rozellomycota;unidentified (Rozellomycota) class incertae sedis;unidentified (Rozellomycota) order incertae sedis;unidentified (Rozellomycota) family incertae sedis;unidentified (unidentified (unidentified (unidentified (Rozellomycota))));Unknown unidentified (unidentified (unidentified (unidentified (Rozellomycota)))) species 1,Rozellomycota:1031332
Otu185,0,0,0,0,0,0,0,0,82,0,0,0,0,Cellular organisms;Eukaryota;Opisthokonta;Fungi;Basidiomycota;Agaricomycetes;Agaricales;Strophariaceae;Pholiota;Pholiota_adiposa,Pholiota adiposa:64639
Otu184,0,0,0,0,0,0,46,0,0,0,0,0,0,Cellular organisms;Eukaryota;Opisthokonta;Fungi;Ascomycota;Dothideomycetes;Pleosporales;Thyridariaceae;Roussoella;Roussoella_solani,Roussoella solani:1871389
Otu181,0,0,0,0,0,0,0,0,49,0,0,0,0,Cellular organisms;Eukaryota;Opisthokonta;Fungi;Ascomycota;Dothideomycetes;Pleosporales;Unknown Pleosporales family 1,Pleosporales:92860
Otu180,0,0,0,0,0,0,29,0,56,0,0,31,0,Cellular organisms;Eukaryota;Opisthokonta;Fungi;Ascomycota;Sordariomycetes;Hypocreales;Bionectriaceae;Clonostachys;Clonostachys_rosea,Clonostachys:110564
Otu183,0,0,0,0,0,0,0,0,0,48,0,0,0,Cellular organisms;Eukaryota;Opisthokonta;Fungi;Ascomycota;Dothideomycetes;Unknown Dothideomycetes order 1,Dothideomycetes:147541
Otu337,0,0,0,0,0,0,12,0,0,0,0,0,0,Cellular organisms;Eukaryota;Opisthokonta;Fungi;Ascomycota;Sordariomycetes;Hypocreales;Ophiocordycipitaceae;Tolypocladium,Tolypocladium:29909
Otu58,0,0,0,0,0,0,0,0,219,0,0,0,0,Cellular organisms;Eukaryota;Opisthokonta;Fungi;unidentified (Fungi) phylum incertae sedis;unidentified (Fungi) class incertae sedis;unidentified (Fungi) order incertae sedis;unidentified (Fungi) family incertae sedis;Unknown unidentified (Fungi) family incertae sedis genus 1,Fungi:4751
Otu50,25,0,0,0,0,0,10,0,347,17,0,4,0,Cellular organisms;Eukaryota;Opisthokonta;Fungi;Ascomycota;Dothideomycetes;Capnodiales;Mycosphaerellaceae;Mycosphaerella;Mycosphaerella_tassiana,Mycosphaerella tassiana:29918
Otu51,0,0,0,0,0,0,0,0,72,125,0,36,0,Cellular organisms;Eukaryota;Opisthokonta;Fungi;Ascomycota;Dothideomycetes;Capnodiales;Cladosporiaceae;Cladosporium;Cladosporium_delicatulum,Cladosporium delicatulum:887075
